title,description,old_price,percentage,filename,category,store_id
Red Statue Woho,Origami.Red person of big face big ears and legs,55.98,0.3,art-1.jpg,Art,1
Pigeon Man,White statue of man with pigeon head and wings doing pushups,100,0.2,art-2.jpg,Art,1
Face,Origami.White face,60,0.3,art-3.jpg,Art,1
Rogue Poster,Poster of rogue.,20,0.2,art-4.jpg,Art,1
Furr Coat,Grey white furr coat,200,0.6,coat-1.jpg,Coats,2
Fancy Dress,Yellow full length dress.Thin straps,100,0.3,dress-1.jpg,Dresses,3
Super Fancy Dress,Gold full length dress.No straps,200,0.3,dress-2.jpg,Dresses,2
Disco Dress,Shiny pink mid length dress.Thin straps,80,0.2,dress-3.jpg,Dresses,3
Red Dress,Red velvet full length dress.Thin straps,60,0.5,dress-4.jpg,Dresses,3
Black Dress,Black velvet dress. Mini length.Long flowey sleeves,100,0.3,dress-5.jpg,Dresses,3
Fun Fancy Dress,Pink dress.Short in the font.Long in the back.Thin straps,300,0.4,dress-6.jpg,Dresses,2
Rings,A bunch of rings,60,0.3,jewlery-1.jpg,Jewlery,2
Black Witchy Leggings,Stretchy leggings,70,0.3,bottoms-1.jpg,Bottoms,3
Blue Skater Girl Outfit,Black and Blue long sleeve shirt.Pladed black and blue skirt,170,0.3,combo-1.jpg,Combos,4
Pink Pink Pink,Fluffy long sleeve pink shirt.Platinum pink high waisted mini skirt,210,0.4,combo-2.jpg,Combos,4
Bright Red Heels,Pointy red high heels,700,0.4,shoes-1.jpg,Shoes,2
Pink thigh-highs,Pink thigh-high high heel boots,300,0.35,shoes-2.jpg,Shoes,3
